File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
Backwoods of Canada.txt,2755,15.94446461,6.101600382,43927,8490,5494,713,151,13,2119,1.857559132,0,3,11,5,1,5,63,1698,45,50,9,2444,8,0,1352,0,5,0,449,15,0,6,0,0,0,182,577,644,301,401,211,2,1,1,1,2
Greenmantle.txt,6653,6.857357583,5.564004208,45622,8461,5540,568,74,9,2270,1.649445443,0,4,13,4,0,10,60,1670,35,58,9,2671,10,0,1190,0,2,1,471,15,0,6,0,0,1,193,675,575,340,300,143,1,2,1,1,2
Famous Stories ECSK.txt,4302,10.72129242,5.649870997,46123,8353,5417,583,114,10,2229,1.665568155,0,3,16,2,1,12,66,1599,42,70,8,2589,14,0,1096,0,3,2,564,10,1,4,0,0,1,208,694,596,357,231,160,2,1,1,0,1
TheOldSultan.txt,16,24.625,5.040609137,394,227,90,2,0,0,135,1.431472081,0,0,2,2,0,0,2,45,0,0,6,69,0,0,12,0,1,0,18,0,0,0,0,0,0,13,22,12,12,9,2,0,0,0,0,1
Peeps Ancient Egypt.txt,938,13.66098081,5.583190261,12814,3432,2102,127,12,3,1188,1.649992196,0,1,11,3,0,1,34,633,14,25,7,909,3,0,622,0,2,0,203,7,0,4,0,0,0,75,281,218,140,133,103,1,0,1,1,1
THE WILLOW-WREN AND THE BEAR.txt,22,19.81818182,5.027522936,436,257,102,3,0,0,152,1.451834862,0,0,4,1,0,0,3,42,1,5,5,71,0,0,20,0,1,0,19,0,0,1,0,0,0,18,35,11,9,8,3,0,0,0,0,1
Southern Stories.txt,1389,10.74514039,5.567638191,14925,4701,2873,233,48,6,1541,1.679262982,0,1,12,5,0,32,50,899,23,29,10,1418,3,0,652,0,2,0,282,6,0,0,0,0,1,99,396,353,160,187,75,1,2,1,2,2
Adventures of SH.txt,6820,6.909090909,5.70061545,47120,7668,5088,576,111,9,1884,1.722814092,0,3,15,3,0,12,56,1596,33,43,7,2437,2,0,888,0,2,1,442,12,0,5,0,0,0,240,635,538,334,224,133,2,1,1,3,2
Children_s Hour.txt,140,9.207142857,5.289371606,1289,570,278,7,1,1,283,1.516679597,0,0,5,2,0,0,10,109,1,1,5,167,0,0,44,0,1,0,45,2,0,1,0,0,0,22,91,21,25,15,2,0,0,1,0,1
TheDogAndTheSparrow.txt,42,14.38095238,5.001655629,604,274,106,2,0,0,166,1.410596026,0,0,3,1,0,0,6,44,3,3,3,91,0,0,14,0,1,0,23,0,0,1,0,0,0,8,36,11,20,5,1,0,0,0,0,1
Australia History Present Condition.txt,3267,17.8013468,6.298949396,58157,8741,5656,879,175,16,2015,1.966779579,0,4,16,2,1,5,77,1725,40,45,10,2474,21,0,1383,0,1,0,517,10,0,11,0,0,0,248,605,662,346,334,199,1,1,1,2,3
Golden Moments.txt,2229,8.709286676,5.309998455,19413,4302,2615,159,16,1,1511,1.539483851,0,3,10,5,0,6,39,814,22,24,7,1337,4,0,551,1,2,1,292,4,1,2,0,0,0,100,369,305,161,156,81,2,1,1,1,1
TheTaleOfPeterRabbit.txt,57,8.824561404,5.500994036,503,306,133,5,0,1,167,1.636182903,0,0,4,0,0,0,8,60,1,2,4,87,0,0,28,0,1,0,30,1,0,0,0,0,0,9,37,16,7,10,1,0,0,0,0,1
Ulysses.txt,23641,6.114377564,5.839059149,144550,28841,19527,2975,741,129,5469,1.76653753,0,19,22,10,1,92,239,5863,105,107,12,9827,32,0,4234,0,12,5,1425,52,7,17,0,1,1,354,1944,1825,806,1292,518,6,7,1,5,3
AnnaKarenina.txt,16786,9.597938758,6.018583461,161111,12573,8199,1324,344,49,2657,1.851953001,0,7,12,2,0,34,84,2447,48,66,10,3876,11,0,1722,0,5,0,845,16,0,4,0,1,0,296,934,1150,453,337,205,4,2,1,1,3
People of Africa.txt,631,10.02377179,5.462766798,6325,1526,855,37,7,0,627,1.629090909,0,1,7,2,0,2,26,283,12,8,5,371,2,0,290,0,1,0,84,2,0,2,0,0,0,29,98,71,50,116,60,2,0,1,1,1
LastMohicans.txt,4520,16.02876106,6.174589372,72450,9573,6349,949,190,23,2062,1.902829538,0,3,11,5,0,21,58,1985,40,68,8,2727,3,0,1409,0,2,0,548,13,2,8,0,0,0,220,789,809,413,281,142,2,2,1,3,2
InvisibleMan.txt,3846,6.350234009,5.773205585,24423,5557,3435,425,132,14,1551,1.724112517,0,3,10,3,0,8,44,1142,16,20,7,1726,20,0,639,0,1,0,388,6,0,4,0,0,0,122,479,463,219,141,87,4,1,1,3,2
TIoFB.txt,3465,11.37460317,5.805926978,39413,7698,5015,633,160,18,1872,1.742420014,0,2,14,3,0,7,60,1644,36,36,8,2419,6,0,953,0,3,1,517,11,0,4,0,0,0,162,606,500,297,254,150,1,2,1,1,2
Study Scarlet.txt,2208,9.15625,5.936390167,20217,5576,3586,434,98,14,1444,1.811198496,0,4,10,5,0,8,47,1184,27,34,8,1684,1,0,660,0,2,0,355,9,0,4,0,0,0,153,483,383,259,162,85,4,2,1,2,2
KSM.txt,4087,9.866650355,5.528183509,40325,6880,4383,462,80,9,1946,1.655201488,0,2,13,6,1,18,56,1346,32,60,8,2047,15,1,894,0,1,0,412,10,1,9,0,0,0,168,602,508,302,232,127,3,2,1,3,2
Madame Bovary.txt,5692,9.955551651,5.887077135,56667,10126,6660,921,167,21,2357,1.768083717,0,2,12,7,0,32,70,1933,43,33,8,2964,3,0,1806,0,2,2,496,12,1,5,0,0,0,158,844,794,352,354,187,1,2,1,2,3
Folk Tales ECSK.txt,2116,9.651701323,5.224501787,20423,4498,2674,185,32,3,1604,1.529109338,0,7,12,3,0,12,38,855,19,25,7,1383,13,0,609,0,3,1,258,7,0,8,0,0,0,135,407,254,200,161,72,3,4,1,1,1
